ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,dist_from_city
3329,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2.0,2.0,120.0,11.0
3330,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Unknown,1975,3.0,3.0,123.0,14.4
3331,Super built-up  Area,Ready To Move,Nelamangala,2 BHK,Unknown,820,2.0,2.0,24.0,31.5
3332,Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,110.0,15.4
3333,Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,SVdhaig,1223,2.0,1.0,60.0,17.0
3334,Super built-up  Area,Ready To Move,Ananth Nagar,3 BHK,Unknown,1200,2.0,1.0,65.0,21.6
3335,Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,Niine J,1200,2.0,0.0,90.0,10.9
3336,Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,665,1.0,1.0,46.08,8.6
3337,Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1351,2.0,2.0,70.0,14.3
3338,Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1355,3.0,1.0,83.87,11.1
3339,Built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,Unknown,3900,3.0,2.0,300.0,9.8
3340,Super built-up  Area,18-Nov,Thanisandra,3 BHK,Unknown,1588,3.0,1.0,75.55,11.5
3341,Carpet  Area,Ready To Move,Amruthahalli,2 BHK,Unknown,900,2.0,1.0,60.0,14.4
3342,Plot  Area,Ready To Move,Bhuvaneshwari Nagar,3 Bedroom,Unknown,440,3.0,0.0,50.0,13.4
3343,Built-up  Area,18-Feb,Harlur,4 Bedroom,Unknown,3385,4.0,1.5817572892040976,260.0,16.1
3344,Super built-up  Area,Ready To Move,Panathur,3 BHK,Saite G,1370,2.0,2.0,75.0,14.2
3345,Plot  Area,18-Dec,Whitefield,3 Bedroom,Unknown,1500,3.0,1.0,71.8,17.3
3346,Super built-up  Area,Ready To Move,Pulikeshi Nagar,3 BHK,Unknown,2280,3.0,1.5817572892040976,285.0,17.3
3347,Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,Unknown,1100,3.0,2.0,53.0,26.5
3348,Built-up  Area,Ready To Move,Hoodi,2 BHK,Adion M,1247,2.0,0.0,53.0,13.3
3349,Super built-up  Area,19-Dec,Domlur Layout,3 BHK,Unknown,2000,3.0,2.0,200.0,17.3
3350,Super built-up  Area,18-Jul,Balagere,2 BHK,Soresea,1020.07,2.0,1.0,68.38,16.1
3351,Super built-up  Area,19-Dec,Gunjur Palya,3 BHK,Unknown,1033,2.0,2.0,32.0,16.6
3352,Built-up  Area,Ready To Move,B Narayanapura,3 BHK,Niidet ,1460,2.0,3.0,73.0,10.1
3353,Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,Unknown,1150,2.0,2.0,52.8,11.9
3354,Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,Maana E,5965,5.0,1.5817572892040976,385.0,17.2
3355,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,Unknown,1141,2.0,1.0,46.0,9.8
3356,Super built-up  Area,Ready To Move,Yelahanka,4 BHK,Niareum,2806 - 3019,6.0,0.0,125.5,20.8
3357,Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,Unknown,4200,4.0,3.0,325.0,46.3
3358,Super built-up  Area,18-Jul,Hosa Road,3 BHK,Sosisic,1665,2.0,3.0,125.0,15.7
3359,Super built-up  Area,18-Dec,Kanakapura,2 BHK,GoityEt,1295,2.0,2.0,64.0,47.7
3360,Super built-up  Area,18-Aug,Haralur Road,2 BHK,SNnia E,1230,2.0,1.0,78.0,14.9
3361,Super built-up  Area,Ready To Move,Anand Nagar,3 BHK,Unknown,1080,2.0,2.0,75.0,10.1
3362,Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,1000,2.0,1.0,60.0,32.9
3363,Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,Unknown,2400,2.0,0.0,50.0,8.9
3364,Super built-up  Area,19-Dec,Whitefield,1 BHK,Goted U,613 - 648,1.0,0.0,32.79,17.3
3365,Super built-up  Area,18-May,Rayasandra,3 BHK,Unknown,1708,3.0,2.0,75.0,16.4
3366,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697,3.0,2.0,115.0,11.5
3367,Super built-up  Area,Ready To Move,Whitefield,4 BHK,T ZedZe,3537,5.0,3.0,210.0,17.3
3368,Super built-up  Area,19-Mar,Hosa Road,1 BHK,Skume R,615,1.0,1.0,28.29,15.7
3369,Built-up  Area,Ready To Move,Banashankari,3 BHK,Naashi ,1350,2.0,0.0,83.0,11.2
3370,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1430 - 1630,2.0,1.5817572892040976,66.4,26.5
3371,Super built-up  Area,19-Dec,Jalahalli,2 BHK,DSata S,1083,2.0,1.0,32.49,16.6
3372,Super built-up  Area,Ready To Move,Gottigere,3 BHK,Srtusi ,1460,2.0,2.0,65.0,15.2
3373,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,Unknown,1084,2.0,1.0,58.0,9.8
3374,Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,1035,2.0,1.0,41.43,21.7
3375,Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,Unknown,2400,2.0,1.0,150.0,11.7
3376,Super built-up  Area,Ready To Move,Hosur Road,1 BHK,SLiewce,460,1.0,1.0,21.0,19.0
3377,Super built-up  Area,Ready To Move,Narayanappa Layout,5 BHK,Unknown,950,5.0,1.5817572892040976,90.0,17.3
3378,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Iseenst,1285,2.0,2.0,55.9,17.3
3379,Super built-up  Area,Ready To Move,1Hanuman Nagar,19 BHK,Unknown,2000,16.0,1.5817572892040976,490.0,17.3
3380,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1200,3.0,2.0,78.0,17.2
3381,Built-up  Area,Ready To Move,Raghuvanahalli,2 BHK,Srncykh,1070,2.0,1.0,35.0,16.2
3382,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3.0,2.0,140.0,13.7
3383,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1697,3.0,2.0,115.0,17.3
3384,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,CMoryma,1199,2.0,2.0,65.0,13.8
3385,Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Emine P,2300,3.0,1.0,220.0,13.8
3386,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,Unknown,1340,2.0,3.0,64.31,28.6
3387,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3800,4.0,3.0,205.0,10.9
3388,Plot  Area,Ready To Move,Jigani,5 Bedroom,Unknown,600,5.0,1.5817572892040976,50.0,27.7
3389,Super built-up  Area,Ready To Move,Wilson Garden,2 BHK,Gonoril,1125,2.0,1.0,75.0,4.5
3390,Plot  Area,Ready To Move,Anandapura,2 Bedroom,Unknown,1200,2.0,1.0,67.0,12.4
3391,Built-up  Area,Ready To Move,Subramanyapura,2 BHK,Srnumum,1050,2.0,3.0,41.0,16.0
3392,Built-up  Area,Ready To Move,Nagarbhavi,2 BHK,Jaiewke,956,2.0,1.0,49.0,17.0
3393,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,1000,2.0,2.0,30.0,17.2
3394,Built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1596,3.0,0.0,95.0,17.3
3395,Plot  Area,Ready To Move,Kumbhena Agrahara,6 Bedroom,Unknown,1200,5.0,1.0,150.0,17.3
3396,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1296,2.0,3.0,89.06,26.5
3397,Plot  Area,Ready To Move,NS Palya,6 Bedroom,Unknown,1200,7.0,1.5817572892040976,170.0,9.7
3398,Built-up  Area,Ready To Move,Challaghatta,3 BHK,ShanaSp,1639,3.0,3.0,123.0,17.3
3399,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coomee ,1219,2.0,1.0,61.25,19.3
3400,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1200,3.0,1.0,50.0,12.9
3401,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Unknown,1218,2.0,1.0,73.0,18.8
3402,Super built-up  Area,Ready To Move,Nyanappana Halli,2 BHK,Unknown,920,2.0,3.0,37.0,17.3
3403,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2559,3.0,2.0,141.0,13.4
3404,Super built-up  Area,22-Dec,2nd Phase Judicial Layout,1 BHK,Unknown,525,1.0,1.0,26.0,17.7
3405,Super built-up  Area,18-Feb,Bannerghatta Road,3 BHK,DSnjh S,1427,2.0,2.0,48.51,18.8
3406,Super built-up  Area,18-Apr,Kothannur,3 BHK,Unknown,1270,3.0,2.0,45.0,11.8
3407,Built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,SVovelm,920,2.0,3.0,65.0,15.4
3408,Built-up  Area,Ready To Move,Dommasandra,4 Bedroom,Unknown,2700,3.0,2.0,68.0,23.5
3409,Super built-up  Area,Ready To Move,Indira Nagar 3rd Stage,3 BHK,Unknown,1740,3.0,2.0,199.0,17.3
3410,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,Unknown,1355,2.0,1.5817572892040976,40.0,11.7
3411,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1530,2.0,2.0,90.0,21.4
3412,Carpet  Area,Ready To Move,Gokula Extension,3 BHK,Unknown,1372,2.0,1.0,90.0,17.3
3413,Super built-up  Area,Ready To Move,Nehru Nagar,4 BHK,Undge T,2363,5.0,2.0,120.0,17.3
3414,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3895,4.0,3.0,220.0,10.9
3415,Super built-up  Area,20-Jun,Jakkur,3 BHK,SoineC ,1950,3.0,2.0,131.0,12.9
3416,Built-up  Area,Ready To Move,Hoysalanagar,2 BHK,PNncysi,885,2.0,3.0,40.0,10.3
3417,Built-up  Area,Ready To Move,Yelahanka,2 BHK,Unknown,600,2.0,2.0,27.0,20.8
3418,Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,Unknown,1270,4.0,1.0,128.0,12.2
3419,Plot  Area,Ready To Move,Vijayanagar,2 Bedroom,Unknown,1380,2.0,0.0,225.0,11.1
3420,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2.0,2.0,62.0,26.5
3421,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1130,2.0,1.0,36.0,17.3
3422,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1085,2.0,2.0,43.0,12.9
3423,Built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1430,3.0,2.0,72.0,13.4
3424,Carpet  Area,18-Dec,Bhoganhalli,4 BHK,Rosha I,1451.5,4.0,1.0,121.0,15.3
3425,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,5 BHK,PeBayle,6200,5.0,1.5817572892040976,720.0,12.4
3426,Super built-up  Area,Ready To Move,AGS Layout,3 BHK,Unknown,1490,2.0,1.0,59.6,12.1
3427,Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4 BHK,Unknown,1650,4.0,0.0,99.0,12.0
3428,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Unknown,1286,2.0,2.0,57.0,12.9
3429,Built-up  Area,Ready To Move,KR Garden,2 BHK,Saavear,925,2.0,2.0,63.0,6.6
3430,Super built-up  Area,Ready To Move,Bellandur,4 BHK,Sonyxa ,3016,4.0,3.0,230.0,12.9
3431,Built-up  Area,Ready To Move,Haralur Road,2 BHK,Unknown,1000,2.0,2.0,44.0,14.9
3432,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1215,2.0,2.0,39.0,17.3
3433,Plot  Area,Ready To Move,Kanakadasa Layout,4 Bedroom,Unknown,1200,3.0,1.0,95.0,17.3
3434,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,Puarent,1336,2.0,2.0,100.0,13.3
3435,Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,673,1.0,1.0,36.85,13.4
3436,Plot  Area,Ready To Move,Anandapura,2 Bedroom,Unknown,1200,2.0,1.0,58.0,12.4
3437,Plot  Area,Ready To Move,Lingarajapuram,6 Bedroom,Unknown,600,7.0,2.0,63.0,6.0
3438,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Unknown,1600,3.0,3.0,160.0,8.3
3439,Plot  Area,Ready To Move,Mallathahalli,2 Bedroom,Unknown,1200,2.0,0.0,79.0,15.0
3440,Plot  Area,Ready To Move,Indira Nagar,6 Bedroom,Unknown,2480,4.0,1.0,750.0,3.7
3441,Super built-up  Area,18-Apr,Jayamahal Extension,3 BHK,Unknown,2500,3.0,1.5817572892040976,270.0,17.3
3442,Plot  Area,Ready To Move,Devanahalli,5 Bedroom,Unknown,2400,5.0,3.0,100.0,38.7
3443,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,Unknown,1143,2.0,2.0,65.0,6.6
3444,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,JRrnauv,1470,2.0,2.0,61.74,26.5
3445,Plot  Area,Ready To Move,Laxminarayana Layout,4 Bedroom,Unknown,1584,3.0,2.0,145.0,17.3
3446,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Vaoodar,1785,3.0,2.0,94.0,10.9
3447,Super built-up  Area,Ready To Move,Koramangala,3 BHK,Unknown,2292,3.0,2.0,286.0,8.3
3448,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Unknown,1460,3.0,3.0,71.0,11.8
3449,Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Unknown,1500,2.0,3.0,80.0,8.6
3450,Plot  Area,Ready To Move,Yelahanka,5 Bedroom,Unknown,1200,4.0,1.0,140.0,20.8
3451,Built-up  Area,Ready To Move,Sanjay nagar,5 BHK,Unknown,3300,3.0,1.5817572892040976,250.0,10.6
3452,Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Unknown,1230,2.0,2.0,48.0,12.1
3453,Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,650,1.0,1.0,20.0,21.5
3454,Super built-up  Area,Ready To Move,Benson Town,2 BHK,Unknown,1480,2.0,1.5817572892040976,120.0,5.6
3455,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1220,2.0,1.0,43.92,11.5
3456,Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1570,3.0,1.0,115.0,17.3
3457,Built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,Unknown,3000,3.0,3.0,400.0,6.7
3458,Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3.0,2.0,86.91,18.4
3459,Plot  Area,Ready To Move,Banagiri Nagar,3 Bedroom,Unknown,1350,3.0,1.0,380.0,10.0
3460,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,4000,5.0,2.0,600.0,17.2
3461,Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,Unknown,1100,2.0,0.0,68.0,11.7
3462,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1350,2.0,1.0,87.01,9.6
3463,Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Salisal,1719,3.0,2.0,116.0,15.0
3464,Super built-up  Area,Ready To Move,Budigere,1 BHK,PrityTr,664,1.0,1.0,35.0,30.9
3465,Super built-up  Area,18-Dec,Sonnenahalli,2 BHK,Skacak ,1011,2.0,1.0,50.53,16.8
3466,Built-up  Area,Ready To Move,Akshya Nagar,6 Bedroom,Unknown,2400,6.0,0.0,130.0,11.9
3467,Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3 BHK,Unknown,1680,3.0,2.0,85.0,18.1
3468,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,VSlistr,704 - 730,2.0,0.0,49.475,13.4
3469,Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,Unknown,700,4.0,2.0,110.0,8.4
3470,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Skstark,1520,2.0,2.0,150.0,17.3
3471,Carpet  Area,Ready To Move,Uttarahalli,3 BHK,Vancya ,1350,2.0,2.0,53.0,12.9
3472,Super built-up  Area,15-Nov,Kothanur,3 BHK,Somumys,1760,3.0,1.5817572892040976,150.0,11.8
3473,Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,Shvarji,875,2.0,1.0,33.0,16.0
3474,Super built-up  Area,Ready To Move,Hennur,2 BHK,Adity T,1231,2.0,2.0,48.0,10.0
3475,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Abeesmi,1174,2.0,3.0,74.0,12.0
3476,Built-up  Area,Ready To Move,Munnekollal,3 BHK,DaniaNe,1560,3.0,3.0,75.0,12.4
3477,Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,2 BHK,Unknown,1464,2.0,2.0,56.0,19.0
3478,Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,Unknown,2200,3.0,2.0,130.0,26.5
3479,Built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,Unknown,850,2.0,2.0,55.0,3.3
3480,Built-up  Area,Ready To Move,Sahyadri Layout,3 BHK,Adthm R,1750,3.0,1.0,180.0,17.3
3481,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,NCaveun,2024,3.0,1.5817572892040976,157.0,9.7
3482,Plot  Area,Ready To Move,Mathikere SBM colony,2 Bedroom,Unknown,1500,1.0,0.0,160.0,17.3
3483,Plot  Area,Ready To Move,"white field,kadugodi",6 Bedroom,Unknown,2100,6.0,1.5817572892040976,275.0,17.3
3484,Super built-up  Area,Ready To Move,Kodihalli,3 BHK,Soianal,2408,4.0,2.0,260.0,6.1
3485,Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brrds O,1080,2.0,1.0,44.0,38.7
3486,Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,Unknown,2070,3.0,2.0,225.0,3.7
3487,Built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1020,2.0,1.0,29.46,18.1
3488,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,55.0,10.8
3489,Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,Unknown,1575,5.0,1.0,158.0,11.4
3490,Plot  Area,Ready To Move,Kodichikkanahalli,4 Bedroom,Unknown,3250,4.0,1.0,180.0,11.3
3491,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1175,2.0,1.0,47.0,12.9
3492,Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1030,2.0,1.0,34.5,19.6
3493,Super built-up  Area,18-Jul,Hebbal,2 BHK,Mahosya,1440,2.0,1.0,115.0,11.1
3494,Built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1500,2.0,1.0,84.0,13.3
3495,Plot  Area,Ready To Move,Thanisandra,1 Bedroom,Unknown,1380,1.0,1.0,62.1,11.5
3496,Built-up  Area,Ready To Move,Bagalur,2 BHK,Haows M,1200,2.0,3.0,50.0,21.3
3497,Built-up  Area,Ready To Move,Vinayak Nagar,1 BHK,Unknown,705,1.0,2.0,36.5,17.3
3498,Super built-up  Area,Ready To Move,Harlur,3 BHK,Prncyrn,2240,5.0,2.0,155.0,16.1
3499,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1584.01,3.0,1.0,103.0,13.7
3500,Super built-up  Area,Ready To Move,P Krishnappa Layout,3 BHK,Apitea ,1340,3.0,3.0,77.0,17.3
3501,Super built-up  Area,Ready To Move,Green Garden Layout,3 BHK,Mas 2 H,1800,3.0,2.0,70.0,17.3
3502,Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,Unknown,1200,2.0,3.0,45.0,9.7
3503,Super built-up  Area,18-Nov,Sarjapur  Road,1 BHK,AsastDe,685,1.0,1.0,40.0,17.2
3504,Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,3.0,42.0,11.5
3505,Super built-up  Area,Ready To Move,Crimson Layout,2 BHK,ARntyne,1230,2.0,2.0,57.0,17.3
3506,Plot  Area,Ready To Move,Manjunath Nagar,5 Bedroom,Unknown,1200,5.0,1.0,185.0,8.4
3507,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Aaubyya,1125,2.0,1.0,52.0,11.3
3508,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Unknown,1100,2.0,1.0,54.0,11.1
3509,Plot  Area,18-Aug,Jigani,3 Bedroom,Prllasw,2400,3.0,2.0,149.0,27.7
3510,Super built-up  Area,18-Jul,Electronic City Phase II,3 BHK,Sryalan,1400,2.0,2.0,41.58,19.3
3511,Plot  Area,Ready To Move,Uttarahalli,7 Bedroom,Unknown,1200,7.0,2.0,225.0,12.9
3512,Super built-up  Area,Ready To Move,Jakkur,3 BHK,Ceezey ,1858,3.0,1.0,98.3,12.9
3513,Plot  Area,Ready To Move,Adityanagar,1 Bedroom,Unknown,1260,1.0,1.0,41.0,17.3
3514,Built-up  Area,Ready To Move,Ambedkar Nagar,4 BHK,SoechHa,3530,4.0,2.0,290.0,18.9
3515,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Unknown,1185,2.0,2.0,60.0,10.5
3516,Plot  Area,Ready To Move,RMV 2nd Stage,2 Bedroom,Unknown,1200,2.0,1.0,216.0,11.4
3517,Super built-up  Area,Ready To Move,Hennur,2 BHK,Unknown,1255,2.0,1.0,58.0,10.0
3518,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Unknown,3436,6.0,3.0,475.0,9.6
3519,Built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Brlms P,1335,3.0,2.0,89.0,11.8
3520,Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,Unknown,1999,3.0,2.0,132.0,11.9
3521,Plot  Area,Ready To Move,Kanaka Nagar,2 Bedroom,Unknown,1200,2.0,1.0,125.0,12.0
3522,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1397,3.0,2.0,110.0,17.4
3523,Plot  Area,Ready To Move,Jigani,10 Bedroom,Mae 2ra,1200,10.0,1.5817572892040976,105.0,27.7
3524,Super built-up  Area,Ready To Move,Cooke Town,4 BHK,Unknown,3950,4.0,1.5817572892040976,450.0,5.4
3525,Plot  Area,Ready To Move,Yelahanka New Town,2 Bedroom,KHatsFl,1200,2.0,1.0,130.0,21.5
3526,Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,Unknown,1616,3.0,0.0,95.0,34.6
3527,Plot  Area,Ready To Move,Banashankari Stage III,8 Bedroom,Unknown,1200,7.0,2.0,350.0,11.2
3528,Built-up  Area,Ready To Move,Hanumantha Nagar,4 Bedroom,Unknown,1270,2.0,1.0,175.0,17.3
3529,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140,2.0,2.0,38.55,15.3
3530,Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,30.0,26.5
3531,Plot  Area,Ready To Move,Varthur,3 Bedroom,Unknown,1200,2.0,1.0,98.0,17.4
3532,Built-up  Area,Ready To Move,Bagalakunte,1 Bedroom,Unknown,700,1.0,1.0,162.0,18.2
3533,Super built-up  Area,18-Jul,Balagere,2 BHK,Soresea,1205.47,2.0,1.0,81.0,16.1
3534,Plot  Area,Ready To Move,T Dasarahalli,3 Bedroom,Unknown,1200,3.0,2.0,130.0,17.3
3535,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Naireru,1700,3.0,2.0,75.0,18.1
3536,Plot  Area,Ready To Move,Thanisandra,5 Bedroom,Unknown,750,4.0,0.0,62.0,11.5
3537,Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1090,2.0,1.0,54.54,26.5
3538,Super built-up  Area,Ready To Move,Yeshwanthpur,4 BHK,IBityin,3600,5.0,1.5817572892040976,220.0,13.4
3539,Built-up  Area,Ready To Move,Kundalahalli,1 BHK,Unknown,2400,1.0,0.0,650.0,17.4
3540,Super built-up  Area,19-Mar,Thanisandra,1 BHK,Bhe 2ko,923,1.0,1.0,60.84,11.5
3541,Super built-up  Area,18-May,Muthurayya Swamy Layout,4 BHK,MacleK ,3595,6.0,2.0,360.0,17.3
3542,Super built-up  Area,Ready To Move,Green Glen Layout,2 BHK,GaentAp,1050,2.0,2.0,48.0,16.9
3543,Super built-up  Area,Ready To Move,Whitefield,2 BHK,UKe 2nz,1495,2.0,2.0,79.5,17.3
3544,Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1482 - 1846,2.0,1.5817572892040976,93.865,14.4
3545,Built-up  Area,Ready To Move,Narayanapura,3 BHK,Unknown,1485,3.0,2.0,85.0,13.2
3546,Super built-up  Area,19-Dec,Dommasandra,3 BHK,Unknown,1033,2.0,2.0,31.5,23.5
3547,Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1400,2.0,1.0,48.0,18.1
3548,Built-up  Area,Ready To Move,Indira Nagar,1 Bedroom,Unknown,500,1.0,0.0,70.0,3.7
3549,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ascid P,944,2.0,1.0,35.0,17.2
3550,Built-up  Area,Ready To Move,Whitefield,5 Bedroom,Unknown,3250,5.0,0.0,290.0,17.3
3551,Super built-up  Area,19-Mar,Whitefield,2 BHK,Prtates,1216,2.0,1.0,66.48,17.3
3552,Super built-up  Area,Ready To Move,Thirumenahalli,2 BHK,Unknown,1100,2.0,1.0,39.5,16.8
3553,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1743,3.0,2.0,93.25,11.5
3554,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1274,2.0,2.0,48.42,20.8
3555,Super built-up  Area,Ready To Move,Lavelle Road,3 BHK,Unknown,2500,3.0,2.0,425.0,2.2
3556,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,SaodySa,1512,2.0,2.0,110.0,28.6
3557,Super built-up  Area,Ready To Move,Dollars Colony,4 BHK,Unknown,3100,5.0,1.0,385.0,11.5
3558,Super built-up  Area,Ready To Move,Cox Town,3 BHK,Unknown,1650,3.0,3.0,100.0,4.8
3559,Built-up  Area,Ready To Move,Doddathoguru,3 BHK,SryleHo,1875,3.0,1.0,55.0,19.6
3560,Built-up  Area,Ready To Move,Whitefield,3 BHK,Unknown,1350,3.0,2.0,54.0,17.3
3561,Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,Unknown,1219,2.0,2.0,40.0,15.9
3562,Plot  Area,Ready To Move,Goraguntepalya,4 Bedroom,Unknown,1200,4.0,1.0,150.0,17.3
3563,Plot  Area,Ready To Move,Sarjapura - Attibele Road,3 Bedroom,Unknown,2400,3.0,3.0,85.0,36.0
3564,Super built-up  Area,Ready To Move,Hormavu,2 BHK,Unknown,1141,2.0,1.0,44.4,11.9
3565,Super built-up  Area,Ready To Move,Anandapura,2 BHK,ViensRK,1151,2.0,1.0,43.1,12.4
3566,Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,Prana S,832,3.0,1.0,77.0,9.6
3567,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,915,2.0,1.0,38.0,17.2
3568,Plot  Area,Ready To Move,Rajankunte,3 Bedroom,Unknown,3259,3.0,0.0,270.0,17.3
